section_id,section_label,effect_id,effect_name,rank,product_id,brand,name,category,price,home_example_score,axis_score,coverage_score,market_popularity_score,review_count_score,rating_score,sales_score,recent_signal_score,coverage_types,risk_penalty,matched_ingredients,coverage_basis,reason_summary,thumbnail_url
market_popular,지금 인기 있는 제품,,시장 인기,1,prod_oy_a000000237493,코스노리,[장벽로션/화잘먹로션] 코스노리 판테놀 베리어 에멀전 150ml,lotion,18000,99.29,,,99.29,100.0,97.14,100.0,100.0,,,,,"리뷰, 평점, 판매 신호를 함께 본 인기 후보예요.",https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023749331ko.jpg?l=ko
market_popular,지금 인기 있는 제품,,시장 인기,2,prod_oy_a000000231120,더페이스샵,[다이노탱 에디션][대용량] 더페이스샵 올티밋 히알루로닉 스쿠알란 1% 크림 90ml,cream,13000,94.55,,,94.55,93.59,96.52,93.53,95.23,,,,,"리뷰, 평점, 판매 신호를 함께 본 인기 후보예요.",https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023112001ko.jpeg?l=ko
market_popular,지금 인기 있는 제품,,시장 인기,3,prod_oy_a000000163734,더마펌,[나띠PICK][증정프로모션/민감보습] 더마펌 모이스트 베리어 부스팅 토너 M4 200ml,toner,30000,91.67,,,91.67,89.84,95.73,89.73,92.44,,,,,"리뷰, 평점, 판매 신호를 함께 본 인기 후보예요.",https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0016/A00000016373404ko.png?l=ko
market_popular,지금 인기 있는 제품,,시장 인기,4,prod_oy_a000000188004,에스네이처,[리뷰이벤트/1등화잘먹물먹세럼] 에스네이처 아쿠아 스쿠알란 세럼 50ml 기획 (+50ml 리필+수분크림 10ml),serum,21760,89.58,,,89.58,87.18,94.96,87.04,90.46,,,,,"리뷰, 평점, 판매 신호를 함께 본 인기 후보예요.",https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A000000188004130ko.jpg?l=ko
market_popular,지금 인기 있는 제품,,시장 인기,5,prod_oy_a000000237954,퓨리토 서울,퓨리토 서울 마이티 밤부 판테놀 크림 100ml,cream,22400,87.97,,,87.97,85.12,94.39,84.98,88.94,,,,,"리뷰, 평점, 판매 신호를 함께 본 인기 후보예요.",https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023795407ko.jpg?l=ko
market_popular,지금 인기 있는 제품,,시장 인기,6,prod_oy_a000000258298,토리든,[NEW] 토리든 다이브인 저분자 히알루론산 세럼 50ml,serum,22000,86.62,,,86.62,83.43,93.83,83.26,87.69,,,,,"리뷰, 평점, 판매 신호를 함께 본 인기 후보예요.",https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025829806ko.jpg?l=ko
market_popular,지금 인기 있는 제품,,시장 인기,7,prod_oy_a000000199405,마녀공장,[속보습] 마녀공장 판테토인 에센스 토너 200ml,toner,14600,85.43,,,85.43,82.01,93.1,81.85,86.65,,,,,"리뷰, 평점, 판매 신호를 함께 본 인기 후보예요.",https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019940515ko.jpg?l=ko
market_popular,지금 인기 있는 제품,,시장 인기,8,prod_oy_a000000187243,빌리프,빌리프 맨올로지101 스마트 모이스춰 익스트림 100ml,lotion,38400,84.41,,,84.41,80.78,92.56,80.58,85.71,,,,,"리뷰, 평점, 판매 신호를 함께 본 인기 후보예요.",https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018724305ko.jpg?l=ko
market_popular,지금 인기 있는 제품,,시장 인기,9,prod_oy_a000000247112,스킨앤랩,[NEW/잡티토닝] 스킨앤랩 글루타치온 앰플 토너 200ml,toner,21250,84.96,,,84.96,67.14,93.9,100.0,75.61,,,,,"리뷰, 평점, 판매 신호를 함께 본 인기 후보예요.",https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024711215ko.jpg?l=ko
market_popular,지금 인기 있는 제품,,시장 인기,10,prod_oy_a000000250476,에스네이처,[1등 화잘먹 수분세럼] 에스네이처 아쿠아 스쿠알란 세럼 50ml 리필기획 (+50ml 리필+발렌 하트 거울),serum,22900,83.45,,,83.45,79.69,91.85,79.49,84.91,,,,,"리뷰, 평점, 판매 신호를 함께 본 인기 후보예요.",https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A000000250476142ko.png?l=ko
