ingredient_rank,ingredient_id,name_ko,name_en,canonical_name,ingredient_entity_type,product_count,search_status,search_result_status,source_status_json,sources_searched,sources_not_searched,raw_candidate_count,deduplicated_paper_count,representative_paper_count,eligibility_status,all_eligibility_statuses,verification_status,all_verification_statuses,applicability_status,all_applicability_statuses,effect_mapping_status,outcome_direction,score_status,machine_signal_status,primary_status,all_statuses,all_machine_signal_statuses,conflicting_evidence,candidate_effect_ids,new_effect_candidates,representative_paper_keys,full_text_gate,status_scope,review_status,runtime_score_change,manifest_version,manifest_sha256,ingredient_dictionary_sha256,outcome_dictionary_sha256,direction_dictionary_sha256,policy_version
2,phenoxyethanol,페녹시에탄올,Phenoxyethanol,Phenoxyethanol,not_extracted,28403,partial,results_retrieved,"{""crossref"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""europe_pmc"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""kci"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""},""openalex"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""pubmed"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""riss"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""}}",pubmed:success_protocol_capped|europe_pmc:success|crossref:success_protocol_capped|openalex:success_protocol_capped,kci:not_attempted|riss:not_attempted,205,176,3,eligible,eligible|formulation_not_isolated|ineligible_design|not_assessable|wrong_ingredient,abstract_only,abstract_only|full_text_unavailable,general_skin,experimental_challenge_limited|general_skin|medical_context_limited|not_applicable|safety_only,not_mapped,not_applicable,not_scoreable,abstract_insufficient,abstract_insufficient,reject_wrong_scope|formulation_only|abstract_insufficient,abstract_insufficient|formulation_only|safety_only,N,,,PMID:17553593|PMID:27168163|DOI:10.1159/000211162,required_before_scoring,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
3,butylene_glycol,부틸렌글라이콜,Butylene Glycol,Butylene Glycol,not_extracted,26098,partial,results_retrieved,"{""crossref"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""europe_pmc"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""kci"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""},""openalex"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""pubmed"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""riss"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""}}",pubmed:success|europe_pmc:success|crossref:success_protocol_capped|openalex:success_protocol_capped,kci:not_attempted|riss:not_attempted,153,125,3,eligible,eligible|formulation_not_isolated|ineligible_design|wrong_ingredient|wrong_route_or_site,abstract_only,abstract_only|full_text_unavailable,general_skin,experimental_challenge_limited|general_skin|medical_context_limited|not_applicable|safety_only,not_mapped,not_applicable,not_scoreable,abstract_insufficient,abstract_insufficient,reject_wrong_scope|formulation_only|abstract_insufficient,abstract_insufficient|formulation_only|safety_only,N,,,PMID:41625414|PMID:39741562|PMID:25182293,required_before_scoring,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
4,tocopherol,토코페롤,Tocopherol,Tocopherol,not_extracted,25877,partial,results_retrieved,"{""crossref"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""europe_pmc"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""kci"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""},""openalex"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""pubmed"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""riss"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""}}",pubmed:success_protocol_capped|europe_pmc:success|crossref:success_protocol_capped|openalex:success_protocol_capped,kci:not_attempted|riss:not_attempted,249,221,3,eligible,eligible|formulation_not_isolated|ineligible_design|wrong_ingredient|wrong_route_or_site,abstract_only,abstract_only|full_text_unavailable,general_skin,experimental_challenge_limited|general_skin|medical_context_limited|not_applicable|safety_only,not_mapped,not_applicable,not_scoreable,abstract_insufficient,abstract_insufficient,reject_wrong_scope|formulation_only|abstract_insufficient,abstract_insufficient|formulation_only|safety_only,N,,,PMID:8221479|PMID:18494887|DOI:10.1159/000211162,required_before_scoring,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
5,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,Ethylhexylglycerin,not_extracted,24596,partial,results_retrieved,"{""crossref"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""europe_pmc"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""zero_results"",""source_run_status"":""success""},""kci"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""},""openalex"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""pubmed"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""riss"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""}}",pubmed:success|europe_pmc:zero_results|crossref:success_protocol_capped|openalex:success_protocol_capped,kci:not_attempted|riss:not_attempted,120,107,3,eligible,eligible|formulation_not_isolated|ineligible_design|wrong_ingredient,abstract_only,abstract_only|full_text_unavailable,medical_context_limited,experimental_challenge_limited|general_skin|medical_context_limited|not_applicable|safety_only,not_mapped,not_applicable,not_scoreable,abstract_insufficient,abstract_insufficient,reject_wrong_scope|formulation_only|abstract_insufficient,abstract_insufficient|formulation_only|safety_only,N,,,PMID:26876063|PMID:30548758|DOI:10.1159/000211162,required_before_scoring,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
6,citric_acid,시트릭애씨드,Citric Acid,Citric Acid,not_extracted,21835,partial,results_retrieved,"{""crossref"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""europe_pmc"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""kci"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""},""openalex"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""pubmed"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""riss"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""}}",pubmed:success_protocol_capped|europe_pmc:success|crossref:success_protocol_capped|openalex:success_protocol_capped,kci:not_attempted|riss:not_attempted,248,223,3,eligible,eligible|formulation_not_isolated|ineligible_design|wrong_ingredient|wrong_route_or_site,abstract_only,abstract_only|full_text_unavailable,general_skin,general_skin|medical_context_limited|not_applicable|safety_only,unmapped_outcome,not_applicable,not_scoreable,abstract_insufficient,abstract_insufficient,reject_wrong_scope|formulation_only|abstract_insufficient,abstract_insufficient|formulation_only|safety_only,N,,,PMID:25922903|PMID:15273093|DOI:10.1159/000211162,required_before_scoring,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
7,caprylyl_glycol,카프릴릴글라이콜,Caprylyl Glycol,Caprylyl Glycol,not_extracted,21124,partial,results_retrieved,"{""crossref"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""europe_pmc"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""zero_results"",""source_run_status"":""success""},""kci"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""},""openalex"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""pubmed"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""riss"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""}}",pubmed:success|europe_pmc:zero_results|crossref:success_protocol_capped|openalex:success_protocol_capped,kci:not_attempted|riss:not_attempted,116,99,3,eligible,eligible|formulation_not_isolated|ineligible_design|wrong_ingredient,abstract_only,abstract_only|full_text_unavailable,general_skin,general_skin|medical_context_limited|not_applicable|safety_only,not_mapped,not_applicable,not_scoreable,abstract_insufficient,abstract_insufficient,reject_wrong_scope|formulation_only|abstract_insufficient,abstract_insufficient|formulation_only|reject_wrong_scope,N,,,DOI:10.19277/bbr.18.2.262|DOI:10.29011/2575-8268.100192|DOI:10.20944/preprints202502.1669.v1,required_before_scoring,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
10,limonene,리모넨,Limonene,Limonene,not_extracted,16657,partial,results_retrieved,"{""crossref"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""europe_pmc"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""kci"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""},""openalex"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""pubmed"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""riss"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""}}",pubmed:success_protocol_capped|europe_pmc:success|crossref:success_protocol_capped|openalex:success_protocol_capped,kci:not_attempted|riss:not_attempted,228,212,3,eligible,eligible|formulation_not_isolated|ineligible_design|wrong_ingredient|wrong_route_or_site,abstract_only,abstract_only|full_text_unavailable,general_skin,general_skin|medical_context_limited|not_applicable|safety_only,not_mapped,not_applicable,not_scoreable,abstract_insufficient,abstract_insufficient,reject_wrong_scope|formulation_only|abstract_insufficient,abstract_insufficient|formulation_only|safety_only,N,,,DOI:10.1016/j.cropro.2021.105607|PMID:39085322|DOI:10.1159/000211162,required_before_scoring,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
11,linalool,리날룰,Linalool,Linalool,not_extracted,16306,partial,results_retrieved,"{""crossref"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""europe_pmc"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""kci"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""},""openalex"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""pubmed"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""riss"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""}}",pubmed:success_protocol_capped|europe_pmc:success|crossref:success_protocol_capped|openalex:success_protocol_capped,kci:not_attempted|riss:not_attempted,230,213,3,eligible,eligible|formulation_not_isolated|ineligible_design|wrong_ingredient|wrong_route_or_site,abstract_only,abstract_only|full_text_unavailable,general_skin,general_skin|medical_context_limited|not_applicable|safety_only,not_mapped,not_applicable,not_scoreable,abstract_insufficient,abstract_insufficient,reject_wrong_scope|formulation_only|abstract_insufficient,abstract_insufficient|formulation_only|safety_only,N,,,DOI:10.1016/j.cropro.2021.105607|PMID:38386591|PMID:20836800,required_before_scoring,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
12,sodium_benzoate,소듐벤조에이트,Sodium Benzoate,Sodium Benzoate,not_extracted,14591,partial,results_retrieved,"{""crossref"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""europe_pmc"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""kci"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""},""openalex"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""pubmed"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""riss"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""}}",pubmed:success|europe_pmc:success|crossref:success_protocol_capped|openalex:success_protocol_capped,kci:not_attempted|riss:not_attempted,187,163,3,eligible,eligible|formulation_not_isolated|ineligible_design|wrong_ingredient|wrong_route_or_site,abstract_only,abstract_only|full_text_unavailable,general_skin,experimental_challenge_limited|general_skin|medical_context_limited|not_applicable|safety_only,not_mapped,not_applicable,not_scoreable,abstract_insufficient,abstract_insufficient,reject_wrong_scope|formulation_only|abstract_insufficient,abstract_insufficient|formulation_only|safety_only,N,,,PMID:35183744|PMID:16239087|DOI:10.25251/skin.6.4.8,required_before_scoring,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
13,potassium_sorbate,포타슘솔베이트,Potassium Sorbate,Potassium Sorbate,not_extracted,14077,partial,results_retrieved,"{""crossref"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""europe_pmc"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""kci"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""},""openalex"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""pubmed"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""riss"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""}}",pubmed:success|europe_pmc:success|crossref:success_protocol_capped|openalex:success_protocol_capped,kci:not_attempted|riss:not_attempted,136,118,3,formulation_not_isolated,formulation_not_isolated|ineligible_design|wrong_ingredient|wrong_route_or_site,abstract_only,abstract_only|full_text_unavailable,not_applicable,general_skin|medical_context_limited|not_applicable|safety_only,not_mapped,not_applicable,not_scoreable,formulation_only,formulation_only,reject_wrong_scope|formulation_only,formulation_only|safety_only|reject_wrong_scope,N,,,DOI:10.21303/2504-5679.2020.001427|DOI:10.3390/app14072862|PMID:10680936,required_before_scoring,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
14,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol","1,2-Hexanediol",not_extracted,13987,partial,results_retrieved,"{""crossref"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""europe_pmc"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""kci"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""},""openalex"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""pubmed"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""riss"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""}}",pubmed:success|europe_pmc:success|crossref:success_protocol_capped|openalex:success_protocol_capped,kci:not_attempted|riss:not_attempted,125,104,3,formulation_not_isolated,formulation_not_isolated|ineligible_design|wrong_ingredient,abstract_only,abstract_only|correction_pending|full_text_unavailable,not_applicable,general_skin|medical_context_limited|not_applicable|safety_only,not_mapped,not_applicable,not_scoreable,formulation_only,formulation_only,reject_wrong_scope|formulation_only,formulation_only|safety_only|reject_wrong_scope,N,,,DOI:10.1007/s11051-014-2505-0|DOI:10.1159/000211162|DOI:10.4236/jcdsa.2011.13012,required_before_scoring,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
15,disodium_edta,다이소듐이디티에이,Disodium EDTA,Disodium EDTA,not_extracted,13862,partial,results_retrieved,"{""crossref"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""europe_pmc"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""kci"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""},""openalex"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""pubmed"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""riss"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""}}",pubmed:success|europe_pmc:success|crossref:success_protocol_capped|openalex:success_protocol_capped,kci:not_attempted|riss:not_attempted,119,99,3,formulation_not_isolated,formulation_not_isolated|ineligible_design|wrong_ingredient|wrong_route_or_site,abstract_only,abstract_only|full_text_unavailable,not_applicable,general_skin|medical_context_limited|not_applicable|safety_only,not_mapped,not_applicable,not_scoreable,formulation_only,formulation_only,reject_wrong_scope|formulation_only,formulation_only|safety_only|reject_wrong_scope,N,,,PMID:39046669|PMID:37250016|PMID:39297898,required_before_scoring,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
16,xanthan_gum,잔탄검,Xanthan Gum,Xanthan Gum,not_extracted,13776,partial,results_retrieved,"{""crossref"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""europe_pmc"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success"",""source_run_status"":""success""},""kci"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""},""openalex"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""pubmed"":{""query_contract_status"":""approved_terms_only"",""rerun_required"":""N"",""search_status"":""success_protocol_capped"",""source_run_status"":""success_protocol_capped""},""riss"":{""query_contract_status"":""not_applicable_not_run"",""rerun_required"":""Y"",""search_status"":""not_attempted"",""source_run_status"":""provenance_incomplete""}}",pubmed:success_protocol_capped|europe_pmc:success|crossref:success_protocol_capped|openalex:success_protocol_capped,kci:not_attempted|riss:not_attempted,210,171,3,eligible,eligible|formulation_not_isolated|ineligible_design|retracted|wrong_ingredient|wrong_route_or_site,abstract_only,abstract_only|full_text_unavailable|validity_hold,general_skin,general_skin|medical_context_limited|not_applicable,not_mapped,not_applicable,not_scoreable,abstract_insufficient,abstract_insufficient,reject_wrong_scope|formulation_only|abstract_insufficient,abstract_insufficient|formulation_only|reject_wrong_scope,N,,,PMID:42426955|PMID:32445905|PMID:27086034,required_before_scoring,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
